"cnpj";"razao_social";"nome_fantasia";"abertura";"situacao";"tipo";"porte";"telefone";"email";"logradouro";"numero";"bairro";"municipio";"uf";"cep";"cnae_principal";"cnae_principal_desc";"cnaes_secundarios";"socios"
"00.088.992/0001-50";"GNTEC SERVICOS TECNOLOGICOS E CONSULTORIA EMPRESARIAL S/S LTDA";"";"1994-05-24";"ATIVA";"MATRIZ";"DEMAIS";"";"";"RUA GENERAL ALCIO SOUTO";"259";"VILA PRUDENTE";"SAO PAULO";"SP";"03.193-1";"85.99-6-04";"Treinamento em desenvolvimento profissional e gerencial";"85.32-5-00 - Educação superior - graduação e pós-graduação; 85.99-6-99 - Outras atividades de ensino não especificadas anteriormente; 85.42-2-00 - Educação profissional de nível tecnológico; 85.33-3-00 - Educação superior - pós-graduação e extensão; 85.50-3-02 - Atividades de apoio à educação, exceto caixas escolares; 85.99-6-03 - Treinamento em informática; 70.20-4-00 - Atividades de consultoria em gestão empresarial; 62.04-0-00 - Consultoria em tecnologia da informação; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação";"ANTONIO GALVAO NIFOCCI; CARLOS EDUARDO TAVARES TIBERIO"
"00.157.840/0001-62";"OLIVEIRA & SOUZA LTDA";"RETIFICA IMPERIAL";"1994-08-10";"BAIXADA";"MATRIZ";"DEMAIS";"(19) 9723-0230";"retimperial@ig.com.br";"RUA JOSINA FLORA DE JESUS SILVA";"120";"JARDIM NOVA TERRA (NOVA VENEZA)";"SUMARE";"SP";"13.179-0";"00.00-0-00";"********";"00.00-0-00 - Não informada";"MARIA ELISABETE DE SOUZA OLIVEIRA; ALESSANDRA DE SOUZA OLIVEIRA"
"00.348.003/0116-60";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"CENTRO NAC DE PESQ TECNOL EM INFORM PARA A AGRICULTURA";"1986-01-24";"ATIVA";"FILIAL";"DEMAIS";"(19) 3211-5700 / (19";"sof@cnptia.embrapa.br";"AVENIDA ANDRE TOSELLO";"209";"CID. UNIV. ZEFERINO VAZ";"CAMPINAS";"SP";"13.083-8";"72.10-0-00";"Pesquisa e desenvolvimento experimental em ciências físicas e naturais";"00.00-0-00 - Não informada";""
"00.609.634/0001-46";"CI&T SOFTWARE S/A";"";"1995-05-18";"ATIVA";"MATRIZ";"DEMAIS";"(19) 2102-9372/ (19)";"taxes@ciandt.com";"EST GIUSEPPINA VIANELLI DI NAPOLLI";"1455";"POLO II DE ALTA TECNOLOGIA (CAMPINAS)";"CAMPINAS";"SP";"13.086-5";"62.01-5-01";"Desenvolvimento de programas de computador sob encomenda";"62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis; 62.04-0-00 - Consultoria em tecnologia da informação; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação; 63.19-4-00 - Portais, provedores de conteúdo e outros serviços de informação na internet; 70.20-4-00 - Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica; 73.11-4-00 - Agências de publicidade; 73.19-0-04 - Consultoria em publicidade; 73.20-3-00 - Pesquisas de mercado e de opinião pública; 74.90-1-04 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários; 82.11-3-00 - Serviços combinados de escritório e apoio administrativo; 82.30-0-01 - Serviços de organização de feiras, congressos, exposições e festas; 85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial";"STANLEY RODRIGUES; CESAR NIVALDO GON; FERNANDO MATT BORGES MARTINS; CARLA ALESSANDRA TREMATORE; MARIA HELENA DOS SANTOS FERNANDES DE SANTANA; BRENNO RAIKO DE SOUZA; SILVIO ROMERO DE LEMOS MEIRA; PATRICE PHILIPPE NOGUEIRA BAPTISTA ETLIN; EDUARDO CAMPOZANA GOUVEIA"
"00.920.868/0001-00";"TAPE ENGENHARIA LTDA";"IMAGRO'S";"1984-08-07";"BAIXADA";"MATRIZ";"DEMAIS";"(19) 3213-1262";"contato@imagros.org.br";"AVENIDA JOSE ROCHA BOMFIM";"214";"LOTEAMENTO CENTER SANTA GENEBRA";"CAMPINAS";"SP";"13.080-6";"00.00-0-00";"********";"00.00-0-00 - Não informada";"CLAUDIA MARIA SPINELLI CINTRA; ODORICO DE LACERDA CINTRA FILHO"
"01.940.175/0001-41";"SOFTWAY SOFTWARES PARA COMERCIO EXTERIOR LTDA";"";"1997-07-01";"BAIXADA";"MATRIZ";"DEMAIS";"(11) 2159-0500 / (11";"compliance.brasil@thomsonreuters.com";"RUA ORLANDO FAGNANI";"422";"JARDIM PLANALTO";"CAMPINAS";"SP";"13.092-0";"00.00-0-00";"********";"00.00-0-00 - Não informada";"MENOTTI ANTONIO FRANCESCHINI NETO; SANTIAGO AYERZA; RICARDO TOMMASI FILHO; THOMSON REUTERS BRASIL CONTEUDO E TECNOLOGIA LTDA"
"02.328.280/0001-97";"ELEKTRO REDES S.A.";"NEOENERGIA ELEKTRO";"1998-01-16";"ATIVA";"MATRIZ";"DEMAIS";"(19) 2122-1000 / (01";"";"RUA ARY ANTENOR DE SOUZA";"321";"JD NOVA AMERICA";"CAMPINAS";"SP";"13.053-0";"35.14-0-00";"Distribuição de energia elétrica";"42.21-9-02 - Construção de estações e redes de distribuição de energia elétrica; 74.90-1-99 - Outras atividades profissionais, científicas e técnicas não especificadas anteriormente";"LUCIANA MAXIMINO MAIA; RENATO DE ALMEIDA ROCHA; ANTONIO SERGIO CASANOVA; EDISON ANTONIO COSTA BRITTO GARCIA; FABIANO DA ROSA CARVALHO"
"02.332.686/0001-43";"KERRY DO BRASIL LTDA";"";"1998-01-13";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3765-5000 / (19";"cuentas.porpagarbr@kerry.com";"AVENIDA MERCEDES BENZ";"460";"DISTRITO INDUSTRIAL";"CAMPINAS";"SP";"13.054-7";"10.99-6-99";"Fabricação de outros produtos alimentícios não especificados anteriormente";"10.41-4-00 - Fabricação de óleos vegetais em bruto, exceto óleo de milho; 10.42-2-00 - Fabricação de óleos vegetais refinados, exceto óleo de milho; 10.43-1-00 - Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais; 10.66-0-00 - Fabricação de alimentos para animais; 10.96-1-00 - Fabricação de alimentos e pratos prontos; 10.99-6-01 - Fabricação de vinagres; 11.22-4-01 - Fabricação de refrigerantes; 11.22-4-03 - Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas; 11.22-4-99 - Fabricação de outras bebidas não alcoólicas não especificadas anteriormente; 21.10-6-00 - Fabricação de produtos farmoquímicos; 46.31-1-00 - Comércio atacadista de leite e laticínios; 46.35-4-99 - Comércio atacadista de bebidas não especificadas anteriormente; 46.37-1-99 - Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente; 46.39-7-01 - Comércio atacadista de produtos alimentícios em geral; 46.39-7-02 - Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada; 52.11-7-99 - Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis; 64.62-0-00 - Holdings de instituições não-financeiras; 82.92-0-00 - Envasamento e empacotamento sob contrato";"DANIEL BERNARDES; MARCELO PEREIRA RODRIGUES MOREIRA MARQUES; DIEGO AUGUSTO SASSILOTO; KERRY GROUP BV"
"02.641.663/0001-10";"FUNDACAO CPQD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOMUNICACOES";"";"1998-07-23";"ATIVA";"MATRIZ";"DEMAIS";"(19) 3705-6201 / (19";"avicente@cpqd.com.br";"RUA DOUTOR RICARDO BENETTON MARTINS";"1000";"POLO II DE ALTA TECNOLOGIA (CAMPINAS)";"CAMPINAS";"SP";"13.086-5";"72.10-0-00";"Pesquisa e desenvolvimento experimental em ciências físicas e naturais";"62.01-5-01 - Desenvolvimento de programas de computador sob encomenda; 62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis; 62.04-0-00 - Consultoria em tecnologia da informação; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação; 63.11-9-00 - Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet; 68.10-2-02 - Aluguel de imóveis próprios; 70.20-4-00 - Atividades de consultoria em gestão empresarial; 71.20-1-00 - Testes e análises técnicas; 74.90-1-99 - Outras atividades profissionais, científicas e técnicas não especificadas anteriormente; 82.11-3-00 - Serviços combinados de escritório e apoio administrativo; 82.30-0-01 - Serviços de organização de feiras, congressos, exposições e festas; 85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial";"SEBASTIAO SAHAO JUNIOR"
"02.677.328/0001-72";"ONEBRAIN SOLUCOES EM TECNOLOGIA LTDA";"";"1998-07-23";"ATIVA";"MATRIZ";"EMPRESA DE PEQUENO PORTE";"(19) 3289-9588 / (01";"empresarial@silveiraassessoria.com.br";"RUA JERONIMO PATTARO";"160";"BARAO GERALDO";"CAMPINAS";"SP";"13.084-1";"62.01-5-01";"Desenvolvimento de programas de computador sob encomenda";"62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis; 62.03-1-00 - Desenvolvimento e licenciamento de programas de computador não-customizáveis; 62.04-0-00 - Consultoria em tecnologia da informação; 62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação; 78.10-8-00 - Seleção e agenciamento de mão-de-obra; 85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial";"JULIANO PASTORELLI DUTRA; MAITE CARVALHO DE GODOY GEREMIAS; ONEBRAIN SOLUCOES EM TECNOLOGIA LTDA; GABRIEL ESTEVES MARQUES PINTO; STALLIN ESTEFFERSON FERREIRA DA SILVA; MARJORY CRISTINA DE SOUZA SILVA; JAIME WILLIAM BROLESI; RUDOLF KELLER"
